Duration,Age,Gender,Gender_comfortable_1,Gender_masc_1,Gender_fem_1,Gender_stability_1,Sexual_strength_1,Sexual_fewq_1,Sexual_gender_1,Romantic_strength_1,Romantic_freq_1,Romantic_gender_1
198,19,Female,9,4,7,9,9,8,8,9,9,9
144,21,Female,9,2,8,9,9,6,8,NA,8,8
592,18,Female,8,6,5,9,9,8,7,9,8,5
99,18,Male,9,8,1,9,9,9,1,9,9,1
135,20,Male,9,5,3,9,8,9,2,7,9,1
154,18,Female,9,2,9,8,8,8,8,8,7,9
88,18,Female,9,2,8,9,9,7,9,9,7,9
185,18,Female,9,3,5,6,6,5,8,9,7,5
219,21,Female,9,3,7,8,9,6,9,9,6,9
475,19,Male,9,8,7,8,9,3,6,9,7,4
149,19,Female,9,5,3,9,7,6,9,6,5,9
268,18,Female,9,2,7,9,8,5,8,8,4,8
214,19,Female,9,2,8,9,7,8,8,8,6,9
192,20,Female,8,7,8,7,9,7,4,8,6,2
97,19,Female,9,3,6,9,8,6,9,8,6,9
275,18,Female,9,4,6,9,8,4,8,8,6,8
107,18,NA,9,3,7,9,8,8,9,8,8,9
390,19,Female,9,3,8,9,8,6,7,9,6,9
159,19,Female,9,4,7,7,8,6,1,8,7,7
553,20,Male,9,7,3,9,9,7,1,9,3,2
167,20,Female,9,1,6,9,9,7,9,9,6,6
108,21,Male,9,6,4,9,6,9,2,8,7,2
106,18,Female,9,3,7,9,9,7,9,8,8,7
136,20,Female,9,3,8,9,8,7,2,9,9,1
92,19,Female,9,2,8,9,8,6,8,8,8,7
223,22,Female,8,4,6,8,6,3,1,9,3,3
228,19,Female,8,2,8,8,7,7,9,8,7,9
147,19,Female,9,4,6,6,7,7,6,8,7,5
140,18,Female,9,4,7,9,8,6,8,8,7,8
94,18,Female,9,3,7,8,8,8,9,8,8,8
156,19,Female,9,1,9,9,8,7,9,9,7,9
101,270,Female,8,1,9,9,9,6,9,9,6,9
890,20,Female,9,3,7,9,8,7,9,9,9,9
512,18,Female,9,2,7,8,2,2,9,3,2,7
234,19,Female,9,2,7,9,8,9,8,9,9,5
252,20,Male,7,5,6,7,7,2,7,9,7,8
257,23,Male,7,7,2,8,4,3,6,8,5,3
163,23,Female,9,2,7,9,8,8,9,8,8,8
228,19,Female,9,2,7,9,9,4,1,9,1,9
215,18,Female,9,3,6,8,8,6,7,8,3,7
113,19,Female,9,2,7,9,8,7,8,7,6,8
11342,20,Female,9,3,7,8,9,5,7,9,5,9
153,19,Female,4,7,1,1,1,3,5,9,9,5
86,20,Male,8,5,5,3,9,9,9,9,9,9
85,23,Male,9,6,3,9,7,5,1,8,4,1
1041,27,Female,9,3,8,8,6,6,4,6,6,5
179,20,Female,8,5,7,6,7,6,3,8,7,4
151,19,Female,9,1,8,9,9,8,9,9,8,9
121,20,Female,9,2,8,9,7,9,9,9,9,9
105,19,Female,9,3,8,8,7,5,5,8,8,5
135,19,Female,9,5,5,9,6,4,5,7,3,5
162,20,Female,8,4,6,5,9,8,5,9,8,6
107,20,Female,9,6,7,9,9,9,9,9,9,9
773,20,Female,9,2,9,9,9,8,9,9,8,9
299,34,Female,8,3,7,8,9,8,5,9,3,5
163,18,Female,9,2,8,9,7,9,7,9,8,7
171,19,Female,9,3,6,6,8,5,6,8,6,5
134,20,Female,9,3,7,8,9,9,8,9,4,5
2412,19,Female,9,3,6,9,7,4,9,9,7,7
194,18,Female,9,3,9,9,9,9,8,9,9,8
252,22,Male,9,7,1,7,8,3,1,8,2,1
48,25,Female,9,4,6,9,2,1,5,3,2,7
240,19,Female,7,7,5,8,7,8,2,9,7,2
287,19,Female,9,2,8,9,5,3,9,8,7,9
142,19,Female,9,1,9,9,7,7,9,9,7,6
