"ID","gender","age","N","E","O","A","C","anx","PD","DL","SUP"
"ID1001",1,4,1.63,2.71,4.2,4.5,4.56,4.38,3.6,3.38,2.25
"ID1002",0,4,2.75,3.57,5,4.75,2.89,4.11,2.8,4,1.5
"ID1003",0,4,3,3.86,4.1,4,3.67,3.86,2.4,3.38,2.5
"ID1004",1,4,2.63,2.86,3.9,4.13,4.22,3.83,3.6,3.25,3.13
"ID1005",0,4,2.25,3.29,2.5,4.5,4.56,3.95,2.6,2.63,3.75
"ID1006",1,4,3.63,1.86,3.3,3.25,3.22,5.81,3.4,2.5,2.63
"ID1007",1,4,2.88,2.57,2.5,4.38,4.11,4.11,2.8,3,3.5
"ID1008",0,4,3.88,1.71,3.8,4.38,3.44,3.17,2.6,3,2.88
"ID1009",0,4,2.25,3.29,3.5,4.38,4,3.08,2.2,2.75,2.25
"ID1010",0,4,3.25,2.86,4,2.88,4.44,4.81,3,3.5,1.38
"ID1011",1,4,2.88,3.57,3.4,3.25,3,5.08,2.2,1.75,2.75
"ID1012",0,4,2.5,4.29,3.6,4.25,5,4.98,3,2.88,2.88
"ID1013",1,4,2.13,3.86,3.9,4.75,4.33,4.25,2.8,3,3
"ID1014",0,4,3.38,3.43,3.3,4,4.78,4.28,3.6,3.5,1.63
"ID1015",1,4,4,2.71,2.9,3.13,4.22,4.73,2.2,2,2.88
"ID1016",1,4,3.75,2.86,3.2,4,3.78,4.7,2.6,2.5,1.5
"ID1017",1,4,2.25,3.43,3.6,4.13,3.67,3.25,2.8,2.88,2.5
"ID1018",1,4,3.5,4.57,3,3.38,4.11,5.93,4,3,2.63
"ID1019",0,4,3,3.14,3.1,3.75,3.56,4.16,3.6,3.38,1.63
"ID1020",1,4,3.5,3,2.6,2.38,2.44,4.59,2.6,2.5,3.63
"ID1021",1,4,3.63,4.71,3,2.75,4.44,5.25,2.6,2.75,1.5
"ID1022",0,4,2.13,3.14,2.9,4.5,4.33,4.49,3.4,3,2.75
"ID1023",1,4,2.63,3.86,4.9,4.5,4,3.54,3.4,3.13,3
"ID1024",0,4,2,4,3.9,3.75,3.44,4.29,3.4,3,2.38
"ID1025",1,4,1.88,3.29,4.1,4.5,4.33,3.07,2.2,3.25,3.5
"ID1026",0,4,2.75,3.71,3.6,4,3.56,2.69,3,3.38,1.88
"ID1027",1,4,3.25,4.86,3.5,3.25,4.22,3.4,3,3.75,3.63
"ID1028",0,4,1.5,3.14,4.2,4.88,4.78,2.9,2.4,3.25,3.5
"ID1029",1,4,2.88,3.29,3.1,3.25,3.78,3.66,3.4,3.75,1.88
"ID1030",1,4,2.63,4,2.9,4.13,3.33,3.33,3.4,3.13,3.25
"ID1031",0,4,1.63,2.86,4.2,4.25,4.44,3.54,2.8,3.88,1.38
"ID1032",1,4,3.25,2.86,3.5,3.75,3.78,2.88,2.2,3,2.88
"ID1033",0,4,4,1.14,4.2,3.75,4.11,3.28,2.6,2.75,3.25
"ID1034",0,4,3.25,2.43,3.5,3.38,3.89,4.58,3.2,3.38,1.5
"ID1035",1,4,3,3.29,4.3,3.25,3.56,3.84,3,3.38,3.25
"ID1036",1,4,3.38,3.71,4.3,3.75,4.33,5.14,4,2.25,2.38
"ID1037",0,4,2.25,5,4.9,4.13,4.11,3.17,1,4,2
"ID1038",1,4,3.75,3.43,4.1,3.38,3.22,3.99,3,2.88,3
"ID1039",0,4,1.63,3.86,4.3,4.75,3.89,2.72,2.2,3,1.5
"ID1040",0,4,2.63,3,4.1,5,3.67,3,2.2,3.63,3.25
"ID1041",0,4,2,2.86,4.6,4.13,3.33,3.47,2,3.5,1.63
"ID1042",0,4,1.25,3.29,4.4,4.38,4.44,2.98,2.4,3.38,3.13
