"picnum","picname","cname","cgoodrt","cnoname","ctype","clex4","crttar","csyll","clnfreq"
"obj174","gas","jia1-iu2-zhan4",0.84,0.08,7,0.4,1683,3,4.331
"obj176","genie","jing1-ling2",0.8,0.06,8,0.43,1830,2,3.97
"obj177","ghost","gui3",0.92,0,7,0.07,1230,1,4.828
"obj178","giraffe","chang2-jing3-lu4",0.96,0,1,0,856,3,2.833
"obj179","girl","nyu3-hai2",0.96,0,7,0.06,1227,2,6.068
"obj180","glass","bei1-zi5",0.96,0,4,0.02,828,2,1.946
"obj181","glasses","ian3-jing4",0.98,0,1,0,710,2,4.489
"obj182","globe","di4-qiu2-i2",1,0,1,0,885,3,1.386
"obj183","glove","shou3-tao4",1,0,1,0,796,2,3.401
"obj184","goat","iang2",0.88,0.02,4,0.07,937,1,3.784
"obj185","gorilla","xing1-xing1",0.92,0,3,0.02,1094,2,3.258
"obj186","grapes","pu2-tao2",0.88,0,1,0,870,2,4.159
"obj187","grasshopper","zha4-meng3",0.9,0,4,0.42,1285,2,2.303
"obj188","guitar","ji2-ta1",0.94,0,1,0,989,2,3.664
"obj189","gun","shou3-qiang1",0.94,0,2,0,830,2,4.5
"obj190","hair","tou2-fa3",0.94,0,8,0.11,1156,2,5.38
"obj191","brush","shu1-zi5",0.86,0.06,6,0.14,1238,2,1.609
"obj192","hamburger","han4-bao3",0.96,0,1,0,850,2,3.611
"obj193","hammer","tie3-chui2",0.94,0.02,7,0.04,1255,2,2.639
"obj194","hammock","diao4-chuang2",0.62,0.3,9,0.39,1965,2,1.609
"obj195","hand","shou3",1,0,3,0.06,883,1,7.319
"obj196","handcuffs","shou3-kao4",0.94,0,4,0.19,1080,2,1.386
"obj197","hanger","i1-jia4",0.94,0,6,0.06,944,2,1.386
"obj198","harp","shu4-qin2",0.9,0.02,3,0.09,1371,2,2.398
"obj199","hat","mao4-zi5",0.98,0,2,0,723,2,4.691
"obj200","hay","dao4-cao3",0.84,0.08,13,0.26,1639,2,0.693
"obj201","heart","ai4-xin1",0.96,0.02,6,0,849,2,7.601
"obj202","heel","gao1-gen1-xie2",0.96,0,6,0.15,1181,3,0
