"picnum","picname","name","goodrt","noname","type","lex4","rttar","syll","char","lnfreq"
"obj001","accordion","accordion",0.76,0.22,5,0.13,1179,4,9,0.693
"obj002","acorn","acorn",0.94,0.04,2,0.17,1242,2,5,1.099
"obj003","airplane","airplane",1,0,3,0,778,2,8,1.946
"obj004","alligator","alligator",1,0,4,0.02,881,4,9,1.099
"obj005","anchor","anchor",0.96,0.04,1,0,951,2,6,1.946
"obj006","ant","ant",1,0,3,0.12,1171,1,3,2.565
"obj007","antlers","antlers",1,0,3,0.02,1186,2,7,0
"obj008","anvil","anvil",0.68,0.3,6,0.29,1239,2,5,0.693
"obj009","apple","apple",0.98,0,1,0,810,2,5,3.434
"obj010","fishtank","fishtank",1,0,5,0.06,1005,2,8,0
"obj011","arm","arm",0.98,0,2,0.16,923,1,3,5.352
"obj012","arrow","arrow",1,0,2,0.02,785,2,5,2.773
"obj013","artichoke","artichoke",0.68,0.26,4,0.21,1397,3,9,1.099
"obj014","ashtray","ashtray",0.74,0.22,7,0.16,1250,2,7,2.303
"obj015","asparagus","asparagus",0.86,0.12,6,0.12,1388,4,9,1.099
"obj016","ax","ax",0.88,0.06,2,0,1085,1,2,2.303
"obj017","baby","baby",1,0,4,0.02,729,2,4,5.557
"obj018","bottle","bottle",0.98,0,3,0.02,775,2,6,4.762
"obj019","stroller","stroller",0.94,0.04,5,0.06,1335,2,8,0.693
"obj020","backpack","backpack",1,0,1,0,836,2,8,0
"obj021","badge","badge",0.94,0.04,9,0.28,1221,1,5,2.303
"obj022","bag","bag",0.98,0,4,0,925,1,3,4.394
"obj023","balcony","balcony",0.98,0,7,0.35,1324,3,7,2.639
"obj024","ball","ball",1,0,1,0,886,1,4,4.718
"obj025","balloon","balloon",1,0,1,0,702,2,7,1.946
"obj026","banana","banana",1,0,1,0,808,3,6,2.197
"obj027","bandaid","bandaid",1,0,2,0,743,2,7,0
"obj028","banjo","banjo",0.92,0.04,5,0.13,1036,2,5,0
"obj029","barbecue","barbecue",0.98,0.02,2,0,1012,3,8,1.099
"obj030","barrel","barrel",0.96,0.04,2,0,882,2,6,3.091
"obj031","basket","basket",1,0,2,0,832,2,6,3.219
"obj032","bat","bat",0.96,0.02,1,0,-764,1,3,2.708
"obj033","bathtub","bathtub",1,0,3,0,966,2,7,1.099
"obj034","bear","bear",1,0,2,0,804,1,4,2.833
"obj035","beard","beard",1,0,3,0.02,1033,1,5,3.258
"obj036","beaver","beaver",0.94,0.06,10,0.26,1395,2,6,1.386
"obj037","bed","bed",1,0,1,0,706,1,3,5.136
"obj038","bee","bee",0.96,0,3,0.31,1207,1,3,2.89
"obj039","bug","bug",1,0,8,0.5,1122,1,3,3.761
"obj040","bell","bell",1,0,1,0,703,1,4,3.332
"obj041","belt","belt",0.98,0,1,0,812,1,4,3.296
"obj042","bench","bench",1,0,2,0,896,1,5,3.178
"obj043","bicycle","bicycle",1,0,2,0,731,3,7,1.792
"obj044","binoculars","binoculars",0.9,0.06,1,0,1055,4,10,4.644
"obj045","bird","bird",1,0,4,0.2,915,1,4,0
"obj046","blimp","blimp",0.94,0.04,6,0.09,1359,1,5,4.585
"obj047","wood","wood",0.98,0.02,7,0.02,1174,1,4,2.079
"obj048","boat","boat",0.98,0,3,0.29,1059,1,4,1.946
"obj049","bomb","bomb",0.98,0,5,0.1,989,1,4,3.738
"obj050","bone","bone",1,0,1,0,872,1,4,4.248
"obj051","book","book",1,0,1,0,656,1,4,6.075
"obj052","boot","boot",1,0,3,0.08,869,1,4,3.689
"obj053","bottle","bottle",0.98,0.02,5,0.06,956,2,6,4.762
"obj054","bowl","bowl",0.98,0,2,0.02,831,1,4,3.526
