"picnum","picname","sname","sgoodrt","snoname","stype","slex4","srttar","ssyll","slnfreq"
"obj001","accordion","acordeón",0.88,0.08,2,0.02,1171,3,2.197
"obj002","acorn","nuez",0.56,0.4,12,0.64,1755,1,2.708
"obj003","airplane","avión",1,0,2,0.02,760,3,4.407
"obj004","alligator","cocodrilo",0.96,0.02,3,0.15,1149,4,2.485
"obj005","anchor","ancla",0.96,0.02,1,0,1160,2,2.639
"obj006","ant","hormiga",0.96,0,6,0.17,1244,3,2.197
"obj007","antlers","cuernos",0.96,0.02,5,0.08,1398,2,3.434
"obj008","anvil","yunque",0.38,0.6,9,0.47,1653,2,1.792
"obj009","apple","manzana",1,0,1,0,800,3,3.178
"obj010","fishtank","pecera",0.98,0.02,3,0.02,1180,3,0.693
"obj011","arm","brazo",0.96,0,2,0.23,1088,2,5.257
"obj012","arrow","flecha",1,0,2,0.02,908,2,2.773
"obj013","artichoke","alcachofa",0.34,0.66,11,0.59,1725,4,1.099
"obj014","ashtray","cenicero",0.88,0.08,4,0.05,1329,4,2.996
"obj015","asparagus","espárrago",0.5,0.48,15,0.76,1426,4,0.693
"obj016","ax","hacha",0.94,0.06,2,0.04,1062,2,2.708
"obj017","baby","bebé",0.98,0,2,0.24,958,2,3.434
"obj018","bottle","biberón",0.98,0,6,0.1,968,3,2.485
"obj019","stroller","carriola",0.94,0.04,7,0.13,1254,3,0
"obj020","backpack","mochila",1,0,1,0,928,3,2.485
"obj021","badge","placa",0.82,0.12,13,0.51,1743,2,2.89
"obj022","bag","bolsa",1,0,3,0,989,2,4.205
"obj023","balcony","balcón",0.9,0.04,6,0.22,1292,2,4.331
"obj024","ball","pelota",0.98,0,3,0.02,905,3,3.807
"obj025","balloon","globo",1,0,1,0,776,2,3.367
"obj026","banana","plátano",1,0,1,0,858,3,1.946
"obj027","bandaid","curita",0.92,0.02,4,0.02,1244,3,0.693
"obj028","banjo","guitarra",0.72,0.26,9,0.53,1475,3,3.638
"obj029","barbecue","asador",0.86,0.1,8,0.14,1427,3,0.693
"obj030","barrel","barril",1,0,3,0.12,812,2,2.079
"obj031","basket","canasta",1,0,2,0,921,3,1.609
"obj032","bat","murciélago",1,0,2,0.06,926,4,2.565
"obj033","bathtub","tina",0.98,0.02,10,0.14,1340,2,1.386
"obj034","bear","oso",1,0,2,0,936,2,3.85
"obj035","beard","barba",0.98,0.02,3,0.04,996,2,4.127
"obj036","beaver","castor",0.66,0.28,10,0.7,1492,2,0.693
"obj037","bed","cama",0.98,0.02,1,0,761,2,6.023
"obj038","bee","abeja",0.96,0.04,2,0.27,1280,3,2.079
"obj039","bug","escarabajo",0.78,0.22,7,0.56,1555,5,1.946
"obj040","bell","campana",1,0,1,0,779,3,3.555
"obj041","belt","cinturón",1,0,2,0,872,3,3.85
"obj042","bench","banca",0.94,0.02,3,0.09,1075,2,2.398
"obj043","bicycle","bicicleta",1,0,1,0,781,4,3.258
"obj044","binoculars","binoculares",0.9,0.08,6,0.07,1254,5,0
"obj045","bird","pájaro",1,0,5,0.1,1088,3,4.143
"obj046","blimp","zepelín",0.7,0.28,6,0.09,1660,3,0
"obj047","wood","tabla",1,0,5,0.44,1097,2,3.85
"obj048","boat","barco",0.92,0.06,5,0.24,1079,2,4.654
"obj049","bomb","bomba",1,0,3,0.04,1222,2,3.664
"obj050","bone","hueso",0.96,0,1,0,921,2,3.807
"obj051","book","libro",0.98,0,1,0,745,2,6.351
"obj052","boot","bota",1,0,3,0.02,802,3,2.303
"obj053","bottle","botella",1,0,1,0,870,3,4.754
"obj054","bowl","plato",0.9,0.08,8,0.36,1269,2,4.454
"obj055","bow","moño",0.98,0,1,0,784,2,3.367
"obj056","box","caja",1,0,1,0,933,2,4.796
"obj057","boy","niño",0.96,0,2,0.02,939,2,6.397
"obj058","branch","rama",1,0,5,0.24,1318,2,3.932
"obj059","bra","brassiére",1,0,4,0.02,1033,2,0
"obj060","bread","pan",1,0,2,0,971,1,4.934
"obj061","bride","novia",0.98,0.02,3,0.02,1085,2,4.585
"obj062","bridge","puente",0.98,0,2,0.02,998,3,4.419
"obj063","broom","escoba",1,0,1,0,888,3,2.303
"obj064","brush","cepillo",1,0,2,0.02,977,3,2.833
"obj065","bus","camión",0.96,0,3,0,964,2,3.258
"obj066","butter","mantequilla",0.96,0.02,3,0.06,1318,4,2.639
"obj067","butterfly","mariposa",1,0,1,0,759,4,2.773
"obj068","button","botón",0.96,0,4,0.04,984,2,3.932
"obj069","cactus","nopal",1,0,3,0,994,2,1.099
"obj070","cage","jaula",0.92,0.06,2,0.02,1073,2,3.466
"obj071","cake","pastel",1,0,2,0.02,923,2,2.996
"obj072","camel","camello",0.92,0.02,1,0,1093,3,2.079
"obj073","camera","cámara",1,0,4,0.02,852,3,4.745
"obj074","can","lata",1,0,4,0.02,1001,2,3.178
"obj075","candle","vela",1,0,2,0,904,2,4.007
"obj076","cane","bastón",0.98,0.02,1,0,987,2,3.367
"obj077","cannon","cañón",0.86,0.14,6,0.12,1110,2,3.807
"obj078","canoe","canoa",0.96,0,7,0.25,1361,3,1.792
"obj079","canopener","abrelatas",0.72,0.26,8,0.17,1512,4,0
"obj080","hat","gorra",0.98,0.02,4,0.35,1194,2,3.296
"obj081","car","carro",0.98,0,4,0,757,2,3.892
"obj082","carousel","carrusel",0.98,0,3,0.08,1182,3,1.609
"obj083","carrot","zanahoria",1,0,1,0,974,4,2.398
"obj084","tape","cassette",0.98,0,2,0,901,2,2.197
"obj085","castle","castillo",0.98,0,3,0.04,1030,3,4.127
"obj086","cat","gato",0.98,0,1,0,781,2,4.949
"obj087","celery","apio",0.78,0.18,5,0.15,1450,2,0
"obj088","chain","cadena",0.96,0,4,0.04,933,3,4.796
"obj089","chair","silla",1,0,1,0,755,2,4.89
"obj090","cheese","queso",0.98,0,1,0,1083,2,3.219
"obj091","cherry","cereza",0.96,0.02,6,0.42,1338,3,0
"obj092","chest","pecho",0.9,0.1,7,0.24,1376,2,5.236
"obj093","chicken","gallina",0.96,0,2,0.17,924,3,3.638
"obj094","chimney","chimenea",0.94,0.04,1,0,1285,4,3.738
"obj095","church","iglesia",1,0,3,0.04,960,3,5.389
"obj096","cigarette","cigarro",0.98,0,2,0,1017,3,3.332
"obj097","city","ciudad",1,0,5,0.14,1272,2,6.498
"obj098","clamp","tornillo",0.36,0.62,13,0.83,1835,3,1.792
"obj099","clock","reloj",0.98,0.02,1,0,789,2,4.963
"obj100","clothespin","gancho",0.9,0.1,9,0.42,1327,2,2.639
"obj101","cloud","nube",0.88,0.1,6,0.14,1187,2,3.932
"obj102","clown","payaso",1,0,1,0,827,3,2.485
"obj103","coat","saco",1,0,5,0.64,1130,2,4.127
"obj104","dime","moneda",0.98,0,2,0.02,990,3,3.638
"obj105","pillar","columna",0.8,0.18,7,0.48,1543,3,4.615
"obj106","comb","peine",1,0,2,0.06,818,2,3.045
"obj107","cookie","galleta",0.8,0.16,4,0.08,1243,3,1.609
"obj108","cork","corcho",0.92,0.08,7,0.24,1569,2,1.609
"obj109","corkscrew","sacacorcho",0.72,0.22,16,0.22,2166,4,0
"obj110","corn","elote",0.98,0,4,0,966,3,0
"obj111","cow","vaca",1,0,2,0.04,1106,2,3.219
"obj112","cowboy","vaquero",0.96,0.02,7,0.13,1383,3,2.996
"obj113","crab","cangrejo",0.86,0.1,6,0.19,1276,3,1.386
"obj114","crackers","galletas",0.92,0.08,2,0.04,1147,3,2.708
"obj115","crib","cuna",0.96,0.02,2,0.02,1045,2,3.401
"obj116","cross","cruz",1,0,1,0,831,1,4.71
"obj117","crown","corona",1,0,1,0,967,3,3.761
"obj118","block","cubo",0.88,0.12,7,0.45,1483,2,3.296
"obj119","cup","taza",1,0,2,0.02,816,2,3.85
"obj120","curtains","cortinas",1,0,4,0.08,1160,3,3.664
"obj121","deer","venado",0.94,0.06,3,0.06,1187,3,2.197
"obj122","dentist","dentista",0.98,0,3,0.06,1190,3,1.946
"obj123","desert","desierto",1,0,6,0.3,1355,3,4.143
"obj124","desk","escritorio",0.9,0.06,3,0.04,1127,4,3.367
"obj125","diaper","pañal",0.96,0.04,6,0.13,1370,2,1.386
"obj126","dinosaur","dinosaurio",0.92,0.06,1,0,1301,4,1.386
"obj127","doctor","doctor",0.96,0.02,3,0.04,1208,2,4.99
"obj128","dog","perro",0.98,0,1,0,756,2,5.416
"obj129","doll","muñeca",0.96,0,3,0.23,987,3,3.497
"obj130","dolphin","delfín",0.98,0.02,1,0,870,2,1.609
"obj131","donkey","burro",1,0,5,0.04,1029,2,3.611
"obj132","door","puerta",0.98,0,1,0,788,2,6.711
"obj133","dragon","dragón",0.92,0.06,1,0,1083,2,2.708
"obj134","drawer","cajón",1,0,3,0,942,2,3.97
"obj135","dress","vestido",1,0,2,0.02,885,3,5.136
"obj136","dresser","buró",0.82,0.14,11,0.41,1565,2,0.693
"obj137","drill","taladro",0.8,0.16,6,0.25,1316,3,0
"obj138","drum","tambor",1,0,1,0,782,2,3.135
"obj139","duck","pato",0.98,0,3,0.04,1080,2,2.398
"obj140","dustpan","recogedor",0.96,0,3,0.02,1075,4,0
"obj141","eagle","águila",1,0,6,0.2,1153,3,3.401
"obj142","ear","oreja",1,0,2,0.44,845,3,4.248
"obj143","earring","arete",0.44,0.48,7,0.23,1724,3,1.099
"obj144","egg","huevo",1,0,1,0,1010,2,4.007
"obj145","elephant","elefante",1,0,1,0,815,4,2.944
"obj146","envelope","sobre",0.98,0,2,0.16,915,2,8.32
"obj147","eskimo","esquimal",0.7,0.28,8,0.37,1521,3,0
"obj148","eye","ojo",1,0,1,0,729,2,5.263
"obj149","fan","ventilador",0.92,0.06,2,0,1121,4,2.565
"obj150","faucet","llave",0.92,0.08,7,0.09,1298,2,4.489
"obj151","feather","pluma",0.98,0,2,0.04,1041,2,3.989
"obj152","fence","cerco",0.98,0.02,9,0.24,921,2,2.833
"obj153","finger","dedo",1,0,2,0.04,757,2,4.883
"obj154","fire","fuego",0.98,0,7,0.14,1155,2,5.303
"obj155","fireman","bombero",1,0,2,0.02,949,3,1.792
"obj156","firetruck","bomberos",0.8,0.14,11,0.43,1493,3,2.398
"obj157","fish","pez",0.94,0,2,0,1042,1,4.094
"obj158","fishingpole","caña de pescar",0.8,0.18,7,0.13,1562,5,0
"obj159","flag","bandera",1,0,2,0,835,3,4.174
"obj160","flashlight","lámpara",0.98,0.02,8,0.12,1124,3,4.007
"obj161","wine","botella",0.94,0.06,10,0.3,1458,3,4.754
"obj162","floor","piso",0.94,0.06,7,0.32,1455,2,5.124
"obj163","flower","flor",1,0,3,0.04,766,1,4.779
"obj164","flute","flauta",0.76,0.24,7,0.24,1689,2,2.485
"obj165","fly","mosca",1,0,3,0.02,988,2,3.466
"obj166","foot","pie",1,0,1,0,837,1,5.958
"obj167","football","balón",0.96,0,7,0.02,1092,2,3.807
"obj168","fork","tenedor",1,0,2,0.02,904,3,2.565
"obj169","fountain","fuente",1,0,1,0,1011,2,4.934
"obj170","fox","zorro",0.96,0.04,7,0.35,1147,2,2.565
"obj171","frog","rana",1,0,2,0,882,2,2.398
"obj172","funnel","embudo",0.86,0.14,4,0.09,1153,3,1.792
"obj173","trash","basura",0.98,0,5,0.12,1157,3,4.025
