"picnum","ename","gname","sname","iname","bname","hname","cname","egoodrt","ggoodrt","sgoodrt","igoodrt","bgoodrt","hgoodrt","cgoodrt","enoname","gnoname","snoname","inoname","bnoname","hnoname","cnoname","ebadrt","gbadrt","sbadrt","ibadrt","bbadrt","hbadrt","cbadrt","etype","gtype","stype","itype","btype","htype","ctype","elex1","glex1","slex1","ilex1","blex1","hlex1","clex1","elex2","glex2","slex2","ilex2","blex2","hlex2","clex2","elex3","glex3","slex3","ilex3","blex3","hlex3","clex3","elex4","glex4","slex4","ilex4","blex4","hlex4","clex4","erttot","grttot","srttot","irttot","brttot","hrttot","crttot","erttar","grttar","srttar","irttar","brttar","hrttar","crttar","ert2","grt2","srt2","irt2","brt2","hrt2","crt2","ert3","grt3","srt3","irt3","brt3","hrt3","crt3","ert4","grt4","srt4","irt4","brt4","hrt4","crt4","esyll","gsyll","ssyll","isyll","bsyll","hsyll","csyll","echar","gchar","schar","ichar","bchar","hchar","lnefreq","lngfreq","lnsfreq","lnifreq","lnbfreq","lnhfreq","lncfreq"
"obj001","accordion","akkordeon","acordeón","fisarmonica","akordeon","harmonika","shou3-feng1-qin2",0.76,0.73,0.88,0.96,0.9,0.96,0.9,0.22,0.1,0.08,0.02,0,0,0,0.02,0.17,0.04,0.02,0.1,0.04,0.1,5,5,2,2,1,2,4,0.87,0.5,0.98,0.9,1,0.85,0.56,0,0,0,0.1,0,0.15,0,0,0.5,0,0,0,0,0,0.13,0,0.02,0,0,0,0.44,1216,1546,1165,1176,1043,951,1410,1179,1572,1171,1160,1043,905,1632,NA,NA,NA,1314,NA,1220,NA,NA,1520,NA,NA,NA,NA,NA,1464,NA,905,NA,NA,NA,1133,4,4,3,5,4,4,3,9,9,8,11,8,9,0.693,0,2.197,0,3.3,0,1.099
"obj002","acorn","eichel","nuez","ghianda","zh^l^d","makk","mao4-zi5",0.94,0.83,0.56,0.74,0.7,0.94,0.42,0.04,0.13,0.4,0.22,0.2,0.06,0.52,0.02,0.03,0.04,0.04,0.1,0,0.06,2,6.7,12,7,6,5,11,0.83,0.68,0.36,0.81,0.71,0.87,0.29,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0.17,0.32,0.64,0.19,0.26,0.13,0.71,1273,1694,1788,1799,1777,1387,1952,1242,1600,1755,1749,1657,1336,2001,NA,NA,NA,NA,2843,NA,NA,NA,NA,NA,NA,NA,NA,NA,1428,1894,1806,2014,1993,1741,1932,2,2,1,2,2,1,2,5,6,4,7,6,4,1.099,0,2.708,0,2.75,0,1.792
"obj003","airplane","flugzeug","avión","aereo","samolet","repülöö","fei1-ji1",1,1,1,0.98,0.9,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0.02,0.1,0.02,0.02,3,1.7,2,2,1,2,1,0.7,1,0.98,0.88,1,0.51,1,0.22,0,0,0.12,0,0.49,0,0.08,0,0,0,0,0,0,0,0,0.02,0,0,0,0,800,826,793,878,959,782,833,778,826,760,877,959,783,833,709,NA,NA,882,NA,781,NA,1245,NA,NA,NA,NA,NA,NA,NA,NA,2412,NA,NA,NA,NA,2,2,3,2,3,3,2,8,8,5,5,7,6,1.946,4.331,4.407,3.045,5.05,2.708,6.061
"obj004","alligator","krokodil","cocodrilo","coccodrillo","krokodil","krokodil","o4-yu2",1,1,0.96,0.94,0.98,0.94,0.94,0,0,0.02,0.02,0,0.02,0,0,0,0.02,0.04,0.02,0.04,0.06,4,3.3,3,4,3,3,3,0.9,0.97,0.83,0.87,0.84,0.94,0.96,0.02,0,0,0,0,0,0,0.06,0,0.02,0.02,0,0.02,0,0.02,0.03,0.15,0.11,0.16,0.04,0.04,886,917,1148,1085,1292,1007,1039,881,909,1149,1052,1226,1006,994,1070,NA,NA,NA,NA,NA,NA,801,NA,259,2533,NA,1599,NA,1177,1158,1268,1071,1628,734,2046,4,3,4,4,3,3,2,9,8,9,11,8,8,1.099,1.099,2.485,0,3.95,0,3.367
"obj005","anchor","anker","ancla","ancora","kotva","horgony","mao2",0.96,1,0.96,0.9,0.94,0.92,0.82,0.04,0,0.02,0.1,0,0.02,0.12,0,0,0.02,0,0.06,0.06,0.06,1,1.7,1,2,1,4,5,1,1,1,0.98,1,0.63,0.83,0,0,0,0,0,0,0.02,0,0,0,0,0,0.2,0,0,0,0,0.02,0,0.17,0.15,951,1176,1160,1158,1052,1385,1589,951,1176,1160,1141,1052,1320,1586,NA,NA,NA,NA,NA,NA,1051,NA,NA,NA,NA,NA,1617,NA,NA,NA,NA,1918,NA,1363,1693,2,2,2,3,2,2,1,6,5,5,6,5,7,1.946,1.386,2.639,0,3.15,0,0.693
"obj006","ant","ameise","hormiga","formica","mravka","hangya","ma3-i3",1,0.93,0.96,0.92,0.86,0.94,0.96,0,0.03,0,0.06,0.06,0.02,0.02,0,0.03,0.04,0.02,0.08,0.04,0.02,3,8.3,6,6,4,3,2,0.88,0.79,0.83,0.74,0.93,0.92,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.21,0.17,0.26,0.07,0.09,0.02,1240,1541,1294,1450,1441,1205,1129,1171,1460,1244,1355,1401,1226,1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1747,1840,1542,1719,1978,984,1193,1,3,3,3,2,2,2,3,6,7,7,6,6,2.565,1.792,2.197,1.386,4.25,0,4.654
"obj007","antlers","geweih","cuernos","corna","roga","agancs","lu4-jiao3",1,0.93,0.96,0.92,0.98,0.92,0.88,0,0.03,0.02,0.06,0,0,0.06,0,0.03,0.02,0.02,0.02,0.08,0.06,3,3.3,5,7,3,4,9,0.72,0.96,0.88,0.85,0.96,0.76,0.55,0,0.04,0.04,0.07,0.02,0.04,0.25,0.26,0,0,0,0,0.17,0,0.02,0,0.08,0.09,0.02,0.02,0.2,1231,1028,1422,1311,1138,955,1441,1186,1026,1398,1339,1105,953,1339,NA,1056,1765,1536,2156,1107,1624,1337,NA,NA,NA,NA,978,NA,1480,NA,1499,870,1681,553,1490,2,2,2,2,2,2,2,7,6,7,5,4,6,0,0.693,3.434,0,4.4,0,0.693
"obj008","anvil","amboss","yunque","incudine","nakovalnja","üllöö","dao1-zi5",0.68,0.47,0.38,0.7,0.58,0.84,0.24,0.3,0.53,0.6,0.22,0.34,0.16,0.66,0.02,0,0.02,0.08,0.08,0,0.1,6,5,9,3,2,6,9,0.71,0.86,0.53,0.94,0.83,0.83,0.33,0,0,0,0,0,0,0.08,0,0,0,0,0,0.02,0,0.29,0.14,0.47,0.06,0.17,0.14,0.58,1507,1493,1929,1418,1659,1635,1881,1239,1315,1653,1384,1622,1476,1344,NA,NA,NA,NA,NA,NA,3444,NA,NA,NA,NA,NA,2121,NA,2150,2561,2235,1985,1834,2482,1965,2,2,2,4,4,2,2,5,5,6,8,10,4,0.693,0.693,1.792,0,2.9,0,0.693
"obj009","apple","apfel","manzana","mela","jab^lka","alma","ping2-guo3",0.98,1,1,0.96,0.94,0.98,0.9,0,0,0,0.02,0.02,0,0,0.02,0,0,0.02,0.04,0.02,0.1,1,1.7,1,1,2,1,2,1,1,1,1,0.98,1,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,810,863,800,904,1020,841,864,810,863,800,904,999,841,850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1479,NA,NA,NA,NA,1985,NA,NA,2,2,3,2,3,2,2,5,5,7,4,7,4,3.434,2.565,3.178,1.609,5.65,2.89,4.595
"obj010","fishtank","aquarium","pecera","acquario","akvarium","akvárium","shui3-zu2-xiang1",1,1,0.98,0.98,0.96,0.98,0.92,0,0,0.02,0.02,0.02,0,0.02,0,0,0,0,0.02,0.02,0.06,5,1.7,3,4,2,2,6,0.48,1,0.92,0.92,0.98,0.98,0.83,0,0,0,0,0.02,0,0.04,0.46,0,0.06,0.02,0,0,0.07,0.06,0,0.02,0.06,0,0.02,0.07,1090,1000,1183,1138,1212,961,1108,1005,1000,1180,1071,1211,963,1083,NA,NA,NA,NA,1260,NA,1702,1130,NA,928,2261,NA,NA,962,1470,NA,2115,1769,NA,860,1167,2,4,3,3,4,4,3,8,8,6,8,8,8,0,1.099,0.693,0,4.05,0,1.946
"obj011","arm","arm","brazo","braccio","r^ka","kéz","shou3",0.98,0.9,0.96,1,0.82,0.94,1,0,0,0,0,0,0,0,0.02,0.1,0.04,0,0.18,0.06,0,2,3.3,2,4,3,4,4,0.84,0.89,0.77,0.8,0.95,0.53,0.84,0,0,0,0.02,0,0.04,0,0,0,0,0,0,0,0,0.16,0.11,0.23,0.18,0.05,0.43,0.16,910,1048,1039,1047,1102,958,926,923,1043,1088,1045,1057,799,911,NA,NA,NA,1646,NA,1724,NA,NA,NA,NA,NA,NA,NA,NA,844,1086,872,994,1991,1081,1005,1,1,2,2,2,1,1,3,3,5,7,4,3,5.352,4.82,5.257,2.773,6.55,6.841,7.319
